group,nearest_tanimoto,id
Evaluation,0.53333336,11777
Evaluation,0.57894737,11794
Evaluation,0.625,11810
Evaluation,0.52380955,11823
Evaluation,0.53333336,11834
Evaluation,0.59090906,11887
Evaluation,0.61290324,11894
Evaluation,0.6296296,11927
Evaluation,0.5925926,12009
Evaluation,0.65384614,12010
Evaluation,0.5652174,12037
Evaluation,0.6363636,12052
Evaluation,1.0,12060
Evaluation,0.6363636,12080
Evaluation,0.6363636,12083
Evaluation,0.6,12091
Evaluation,0.5714286,12092
Evaluation,0.6666667,12115
Evaluation,0.5555556,12116
Evaluation,0.6666667,12132
Evaluation,0.72727275,12144
Evaluation,0.68,12166
Evaluation,0.7368421,12179
Evaluation,0.45,12184
Evaluation,0.6956522,12197
Evaluation,0.6,12206
Evaluation,0.64285713,12221
Evaluation,0.65217394,12245
Evaluation,0.64,12277
Evaluation,0.5769231,12285
Evaluation,0.6666667,12320
Evaluation,0.82608694,12401
Evaluation,0.61904764,12430
Evaluation,0.625,12472
Evaluation,0.6,12483
Evaluation,0.68,12490
Evaluation,0.6296296,12491
Evaluation,0.4347826,12531
Evaluation,0.6,12558
Evaluation,0.52380955,12589
Evaluation,0.65217394,12603
Evaluation,0.5625,12642
Evaluation,0.6,12673
Evaluation,0.5652174,12682
Evaluation,0.57894737,12695
Evaluation,0.6315789,12708
Evaluation,0.65217394,12760
Evaluation,0.6818182,12784
Evaluation,0.625,12791
Evaluation,0.53846157,12795
Evaluation,0.65217394,12797
Evaluation,0.6666667,12804
Evaluation,0.65217394,12807
Evaluation,0.6818182,12810
Evaluation,0.65,12811
Evaluation,0.6363636,12812
Evaluation,0.33333334,12824
Evaluation,0.44444445,12833
Evaluation,0.45454547,12835
Evaluation,0.59090906,12836
Evaluation,0.54545456,12838
Evaluation,0.5555556,12839
Evaluation,0.6333333,12842
Evaluation,0.61904764,12849
Evaluation,0.53846157,12879
Evaluation,0.53846157,12885
Evaluation,0.53333336,12888
Evaluation,0.6,12921
Evaluation,0.6111111,12946
Evaluation,0.65217394,12952
Evaluation,0.6666667,12968
Evaluation,0.5217391,12970
Evaluation,0.6363636,12988
Evaluation,0.6818182,12991
Evaluation,0.65217394,13018
Evaluation,0.6666667,13067
Evaluation,0.53571427,13108
Evaluation,0.33333334,13132
Evaluation,0.33333334,13134
Evaluation,0.7083333,13221
Evaluation,0.6818182,13229
Evaluation,0.6666667,13237
Evaluation,0.5263158,13241
Evaluation,0.6,13277
Evaluation,0.6666667,13297
Evaluation,0.65217394,13298
Evaluation,0.57894737,13302
Evaluation,0.7083333,13333
Evaluation,0.6666667,13336
Evaluation,0.65,13388
Evaluation,0.5833333,13434
Evaluation,0.7647059,13547
Evaluation,0.6818182,13621
Evaluation,1.0,13624
Evaluation,0.43333334,13676
Evaluation,0.6956522,13743
Evaluation,0.5833333,13749
Evaluation,0.71428573,13757
Evaluation,0.5405405,13760
